unit,cycle,actual_RUL,ANN_prediction,CNN_prediction,ANN_abs_error,CNN_abs_error,ANN_CNN_disagreement,ANN_CNN_average
91,1,134,119.9771,100.843605,14.022900000000009,33.156395,19.133494999999996,110.4103525
91,2,133,119.73912,114.31617,13.26088,18.68383,5.42295,117.027645
91,3,132,115.51612,106.65887,16.48388,25.341130000000007,8.857250000000008,111.087495
91,4,131,134.55034,122.77351,3.5503400000000056,8.226489999999998,11.776830000000004,128.661925
91,5,130,122.91228,108.23492,7.0877200000000045,21.76508,14.677359999999991,115.5736
91,6,129,100.46622,92.02491,28.533779999999993,36.975089999999994,8.441310000000001,96.245565
91,7,128,114.21417,99.2628,13.785830000000004,28.7372,14.951369999999995,106.738485
91,8,127,111.045425,120.72874,15.954575000000006,6.271259999999998,9.683315000000007,115.8870825
91,9,126,117.44356,108.33756,8.556439999999995,17.662440000000004,9.106000000000009,112.89056
91,10,125,110.742874,112.23043,14.257126,12.769570000000002,1.487555999999998,111.486652
91,11,124,81.870575,78.81072,42.129425,45.18928,3.059854999999999,80.3406475
91,12,123,120.65946,122.0816,2.3405400000000043,0.9184000000000054,1.4221399999999988,121.37053
91,13,122,119.19625,108.3193,2.8037499999999937,13.680700000000002,10.876950000000008,113.757775
91,14,121,102.74656,104.760765,18.25344,16.239234999999994,2.014205000000004,103.7536625
91,15,120,136.76462,134.64546,16.764620000000008,14.645460000000014,2.1191599999999937,135.70504
91,16,119,95.22581,108.02892,23.774190000000004,10.97108,12.803110000000004,101.627365
91,17,118,91.34352,91.87531,26.65648,26.12469,0.5317900000000009,91.609415
91,18,117,114.56456,120.17326,2.43544,3.173259999999999,5.608699999999999,117.36891
91,19,116,117.414314,119.94637,1.4143140000000043,3.9463700000000017,2.532055999999997,118.680342
91,20,115,111.2169,113.99447,3.783100000000005,1.0055299999999932,2.7775700000000114,112.605685
91,21,114,110.30165,118.66046,3.698350000000005,4.6604600000000005,8.358810000000005,114.481055
91,22,113,109.927284,103.03082,3.072716,9.969179999999994,6.896463999999995,106.479052
91,23,112,99.45385,88.182106,12.546149999999995,23.817893999999995,11.271743999999998,93.817978
